Date,BRL_PYG,EUR_BRL,EUR_PYG,USD_BRL,USD_EUR,USD_PYG
2015-11-26,0.39616644499140663,0.665264464539668,0.5251322030675337,0.7156666243250626,0.7692532881807423,0.7876783244385294
2015-11-27,1516.849091210694,4.634639545417378,6019.895583092168,4.459045328225063,1.7123182864807425,5677.445262359238
2015-11-28,1472.410723074573,4.739441306327051,5997.772749597231,4.561416637125062,1.7131862989807423,5661.787678324438
2015-11-29,1472.736190329839,4.738553679983651,5997.791872959754,4.5605665171250624,1.7131832890807424,5661.787678324438
2015-11-30,1478.4328856109983,4.734849769273444,6015.521644377972,4.561361945225062,1.7142378585807423,5684.866573339538
2015-12-01,1464.8470634176279,4.756675009854244,5992.194975172302,4.586475268025063,1.7153349880807425,5669.396868600338
2015-12-02,1474.0724877086304,4.761341449952114,6036.816795678337,4.570651547425062,1.7103940276807423,5681.787678325239
2015-12-03,1497.02337635377,4.736276756329788,6093.312899969257,4.552413720025062,1.7117085844807423,5742.967779287538
2015-12-04,1536.2571402223832,4.768612008679181,6302.696487092249,4.4744703823250624,1.6852867748807423,5773.787678324438
2015-12-05,1535.1275672913328,4.749631016919051,6268.930732706221,4.468766350325063,1.6881472409807423,5760.787678324438
2015-12-06,1536.1504049771936,4.744797296370161,6265.684969918024,4.466266723925063,1.6886232881807424,5760.787678324438
2015-12-07,1541.7394946685167,4.731680754515279,6268.268750536435,4.4526666129250625,1.6882442920807423,5760.787678324438
2015-12-08,1531.8128495977435,4.742783411750931,6244.905673833843,4.479501812625062,1.6923232326807423,5764.787678324438
2015-12-09,1510.9630063163772,4.824220232361185,6282.905803566089,4.533663310425062,1.6872713915807425,5768.126867085938
2015-12-10,1512.2367016995393,4.794161604347767,6242.759194061517,4.464077827725062,1.6771013348807422,5667.787678426838
2015-12-11,1526.7975639658323,4.819632571959301,6341.7584171844055,4.510736526625062,1.6827664396807425,5793.587680884439
2015-12-12,1491.5374133108871,4.9219799589125675,6347.88918203565,4.587868544925063,1.6789222396807424,5774.787678324438
2015-12-13,1491.784679795933,4.921760618635307,6348.614603543763,4.587226548725063,1.6788182881807423,5774.787678324438
2015-12-14,1488.7323258797333,4.9254405154058585,6341.099194265119,4.5951665366250625,1.6798963850807422,5774.787678324438
2015-12-15,1495.2331176977013,4.9384877700262555,6388.297230198666,4.603666628225063,1.6791051086807425,5812.713750624838
2015-12-16,1490.9514469083886,4.916620422697016,6337.406204764027,4.603479492425063,1.6837410201807423,5795.787678324438
2015-12-17,1486.3930673456694,4.902653558781488,6297.272194156742,4.612579192925063,1.6889027425807424,5791.5876783449385
2015-12-18,1505.312381495264,4.871931340156913,6331.206324634328,4.595439529325063,1.6915447411807425,5839.5208337716385
2015-12-19,1472.9674094859092,4.994046396590644,6374.964922736439,4.6992666243250625,1.6895121652807423,5866.922482102238
2015-12-20,1461.3862256878872,4.9944174563456185,6325.374618173203,4.6992666243250625,1.6894332881807423,5820.787678324438
2015-12-21,1469.7221069645268,4.970605636551184,6326.474599026367,4.676666590025063,1.6892732836807425,5820.787678324438
2015-12-22,1465.46487281076,5.0458244076674275,6418.346421238959,4.7304953700250625,1.6857636881807423,5882.787635067239
2015-12-23,1467.577675634213,5.03231071785343,6407.774644839087,4.704266510125063,1.6825937142807423,5852.787678324438
2015-12-24,1479.8401399706172,4.968284034450097,6366.60150286988,4.660391875525063,1.6859874993807424,5836.787678426638
2015-12-25,1475.4756041177025,4.999644661057814,6394.080235142789,4.667944038625063,1.6810970201807423,5830.710824136639
2015-12-26,1475.2520262192556,5.00390773720727,6399.398586367071,4.668516624325063,1.6803330316807423,5830.671663633138
2015-12-27,1478.2617369437341,4.995070761132722,6399.39678486661,4.660466545025063,1.6803332881807425,5830.671663633138
2015-12-28,1477.5103893335936,4.989223481979126,6387.506496050316,4.659166666325063,1.6812647170807424,5825.787678324438
2015-12-29,1515.053386271773,4.900225310080364,6415.039152585014,4.574519864525063,1.6804431151807422,5845.627598845338
2015-12-30,1500.512545807234,4.89087423955013,6339.431568489462,4.583366544025063,1.6845531207807425,5802.787678324438
2015-12-31,1440.996766514427,4.995212323117914,6238.250615540257,4.675820465525063,1.6838494843807423,5705.787678324438
2016-01-01,1460.0644822445718,4.965339767648579,6277.2088077034205,4.675744561525063,1.6901855179807423,5781.1879713522385
2016-01-02,1460.7491826032092,4.9648863344566765,6279.490898276207,4.674766624325063,1.6900551911807424,5782.471304596438
2016-01-03,1460.6753991650417,4.966280193818097,6281.209081270639,4.674966665525063,1.6898032908807423,5782.471304596438
2016-01-04,1460.76796661959,4.96165853977805,6274.857882118424,4.674714235825062,1.6907347775807424,5782.469165707638
2016-01-05,1437.245432578451,5.039789100753572,6286.057645429754,4.757148314425063,1.6931209140807424,5807.787678836438
2016-01-06,1459.8432363829213,4.988239037642768,6309.677706334561,4.737052831425062,1.6994892030807423,5869.787995365338
2016-01-07,1453.9953539040966,5.002076272506371,6304.51125242652,4.740159793125063,1.6972375648807425,5850.787678426838
2016-01-08,1450.4346041027063,5.08512227269889,6409.488843015519,4.761076627025062,1.6845338646807424,5866.787678324438
2016-01-09,1459.458054008883,5.062877053256074,6416.914056670357,4.741818491225063,1.6847845646807422,5875.192420862439
2016-01-10,1460.6013769372441,5.0605924483633915,6418.605956004876,4.738666387825062,1.6845432911807423,5875.192894796238
2016-01-11,1459.4398132900433,5.06873550301254,6425.381574953096,4.741869150325062,1.6835780312807422,5875.192894796238
2016-01-12,1451.2275740584025,5.065656106997921,6384.751532881065,4.768950417425063,1.6903721617807423,5881.419109324338
2016-01-13,1463.0364031443037,5.033837034401631,6390.175149824091,4.7446819981250625,1.6915260235807423,5893.787678324438
2016-01-14,1466.1623872332216,5.03913734885623,6411.60026005587,4.733826193725062,1.6879264356807422,5890.470244887938
2016-01-15,1473.3963086798406,5.018445849690252,6412.761931703976,4.7251706499250625,1.6903047378807423,5906.787678324438
2016-01-16,1463.2486271042803,5.083907305838437,6464.347685371525,4.763966624325063,1.6854395800807422,5922.853294811438
2016-01-17,1463.9354887429697,5.081863899366885,6464.392075911726,4.762066694525062,1.6854332881807423,5922.853294811438
2016-01-18,1458.7089796331095,5.091481267732273,6455.333810247394,4.7696665251250625,1.6851595984807424,5912.787678324438
2016-01-19,1459.9458213524292,5.084066484670483,6449.986095789288,4.772166582625062,1.6872622733807423,5921.4507925932385
2016-01-20,1452.8433699444015,5.097257500140855,6437.761022690873,4.777776411025062,1.6857957452807424,5900.787678324438
2016-01-21,1441.8383991293022,5.1297498929757435,6435.822975954536,4.821276870725063,1.6888688434807424,5918.787678426838
2016-01-22,1427.1382500324492,5.180914725855934,6443.193394785685,4.874232982425062,1.6901763263807423,5933.989308816738
2016-01-23,1452.9346899742595,5.087449212859163,6423.918837300714,4.810566624325062,1.6952435470807423,5948.787678324438
2016-01-24,1454.1601427962999,5.0848735080554865,6425.593549222827,4.808666559525062,1.6953532881807423,5951.043539326438
2016-01-25,1447.3165480557564,5.103921370543438,6422.9082764773,4.826466413725062,1.6953892514807425,5948.787678328538
2016-01-26,1459.2129753795716,5.103789661705281,6475.520296707935,4.805740640125062,1.6907472155807424,5967.456402360038
2016-01-27,1455.2359073772857,5.0881251642096945,6435.078646690635,4.787592784525063,1.6899076873807424,5924.787678325239
2016-01-28,1442.7368164937618,5.147817667645964,6465.893833049601,4.826346025825062,1.6862930231807423,5929.787678426038
2016-01-29,1456.0616417167275,5.116857132139677,6480.554888401211,4.786365160925063,1.6836897248807423,5926.362998292238
2016-01-30,1483.0887408577792,4.996692319449954,6422.701049283258,4.714769182925063,1.6925290975807423,5930.2273462758385
